0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:26 +0900] "GET /damin/resources/upload/p_image/530_2(16).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:26 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:27 +0900] "GET /damin/mall/view?p_seq=18 HTTP/1.1" 200 11514
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:27 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:27 +0900] "GET /damin/resources/upload/p_image/530_3(14).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:30 +0900] "GET /damin/mall/update?mode=update&p_seq=18 HTTP/1.1" 200 10617
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:35 +0900] "POST /damin/mall/save HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:36 +0900] "GET /damin/mall/list HTTP/1.1" 200 16346
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:36 +0900] "GET /damin/resources/upload/p_image/530_2(16).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:36 +0900] "GET /damin/resources/upload/p_image/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Mar/2023:18:31:36 +0900] "GET /damin/resources/upload/p_image/530_3(15).jpg HTTP/1.1" 404 721
